n,sd,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
9,8.000000,5.000000,10000,0,0,10000,0,0,10000
9,10.000000,1.000000,10000,0,0,10000,0,0,10000
9,10.000000,3.000000,10000,0,0,10000,0,0,10000
9,10.000000,5.000000,10000,0,0,10000,0,0,10000
9,10.000000,9.000000,10000,0,0,10000,0,0,10000
9,10.000000,7.000000,10000,0,0,10000,0,0,10000
9,12.000000,5.000000,10000,0,0,10000,0,0,10000
9,12.000000,9.000000,10000,0,0,10000,0,0,10000
9,12.000000,7.000000,10000,0,0,10000,0,0,10000
9,12.000000,3.000000,10000,0,0,10000,0,0,10000
9,12.000000,1.000000,10000,0,0,10000,0,0,10000
9,14.000000,1.000000,10000,0,0,10000,0,0,10000
9,14.000000,7.000000,10000,0,0,10000,0,0,10000
9,14.000000,3.000000,10000,0,0,10000,0,0,10000
9,14.000000,5.000000,10000,0,0,10000,0,0,10000
9,14.000000,9.000000,10000,0,0,10000,0,0,10000
10,6.000000,9.000000,10000,0,0,10000,0,0,10000
10,6.000000,1.000000,10000,0,0,10000,0,0,10000
10,6.000000,7.000000,10000,0,0,10000,0,0,10000
10,6.000000,5.000000,10000,0,0,10000,0,0,10000
10,6.000000,3.000000,10000,0,0,10000,0,0,10000
10,10.000000,7.000000,10000,0,0,10000,0,0,10000
10,8.000000,1.000000,10000,0,0,10000,0,0,10000
10,8.000000,3.000000,10000,0,0,10000,0,0,10000
10,10.000000,5.000000,10000,0,0,10000,0,0,10000
10,8.000000,9.000000,10000,0,0,10000,0,0,10000
10,10.000000,1.000000,10000,0,0,10000,0,0,10000
10,8.000000,5.000000,10000,0,0,10000,0,0,10000
10,10.000000,9.000000,10000,0,0,10000,0,0,10000
10,8.000000,7.000000,10000,0,0,10000,0,0,10000
10,10.000000,3.000000,10000,0,0,10000,0,0,10000
10,12.000000,7.000000,10000,0,0,10000,0,0,10000
10,12.000000,3.000000,10000,0,0,10000,0,0,10000
10,12.000000,5.000000,10000,0,0,10000,0,0,10000
10,12.000000,9.000000,10000,0,0,10000,0,0,10000
10,14.000000,9.000000,10000,0,0,10000,0,0,10000
10,14.000000,5.000000,10000,0,0,10000,0,0,10000
10,14.000000,3.000000,10000,0,0,10000,0,0,10000
10,12.000000,1.000000,10000,0,0,10000,0,0,10000
10,14.000000,1.000000,10000,0,0,10000,0,0,10000
10,14.000000,7.000000,10000,0,0,10000,0,0,10000
11,6.000000,1.000000,10000,0,0,10000,0,0,10000
11,6.000000,7.000000,10000,0,0,10000,0,0,10000
11,8.000000,1.000000,10000,0,0,10000,0,0,10000
11,8.000000,3.000000,10000,0,0,10000,0,0,10000
11,8.000000,9.000000,10000,0,0,10000,0,0,10000
11,8.000000,7.000000,10000,0,0,10000,0,0,10000
11,8.000000,5.000000,10000,0,0,10000,0,0,10000
11,6.000000,5.000000,10000,0,0,10000,0,0,10000
11,6.000000,3.000000,10000,0,0,10000,0,0,10000
11,6.000000,9.000000,10000,0,0,10000,0,0,10000
11,10.000000,1.000000,10000,0,0,10000,0,0,10000
11,10.000000,9.000000,10000,0,0,10000,0,0,10000
11,10.000000,7.000000,10000,0,0,10000,0,0,10000
11,10.000000,5.000000,10000,0,0,10000,0,0,10000
11,12.000000,1.000000,10000,0,0,10000,0,0,10000
11,10.000000,3.000000,10000,0,0,10000,0,0,10000
11,12.000000,3.000000,10000,0,0,10000,0,0,10000
11,12.000000,7.000000,10000,0,0,10000,0,0,10000
11,12.000000,9.000000,10000,0,0,10000,0,0,10000
11,12.000000,5.000000,10000,0,0,10000,0,0,10000
11,14.000000,7.000000,10000,0,0,10000,0,0,10000
11,14.000000,1.000000,10000,0,0,10000,0,0,10000
11,14.000000,3.000000,10000,0,0,10000,0,0,10000
12,6.000000,9.000000,10000,0,0,10000,0,0,10000
12,6.000000,7.000000,10000,0,0,10000,0,0,10000
11,14.000000,9.000000,10000,0,0,10000,0,0,10000
11,14.000000,5.000000,10000,0,0,10000,0,0,10000
12,6.000000,1.000000,10000,0,0,10000,0,0,10000
12,6.000000,5.000000,10000,0,0,10000,0,0,10000
12,6.000000,3.000000,10000,0,0,10000,0,0,10000
12,8.000000,3.000000,10000,0,0,10000,0,0,10000
12,10.000000,1.000000,10000,0,0,10000,0,0,10000
