n,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
16,5.000000,8794,929,277,8896,808,296,10000
16,7.000000,8857,847,296,8941,740,319,10000
16,9.000000,8812,896,292,8906,781,313,10000
16,1.000000,9044,28,928,8976,22,1002,10000
16,3.000000,9075,26,899,9023,20,957,10000
16,5.000000,9104,24,872,9050,22,928,10000
16,7.000000,9077,25,898,9016,20,964,10000
16,9.000000,9099,25,876,9052,20,928,10000
16,1.000000,8543,0,1457,8453,0,1547,10000
16,3.000000,8549,2,1449,8450,1,1549,10000
16,5.000000,8535,1,1464,8461,1,1538,10000
16,7.000000,8502,0,1498,8405,0,1595,10000
16,9.000000,8528,3,1469,8437,3,1560,10000
16,3.000000,8040,0,1960,7911,0,2089,10000
16,5.000000,7980,0,2020,7859,0,2141,10000
16,7.000000,8009,0,1991,7887,0,2113,10000
16,9.000000,7929,1,2070,7812,1,2187,10000
16,1.000000,7492,0,2508,7343,0,2657,10000
16,3.000000,7546,0,2454,7405,0,2595,10000
16,5.000000,7511,0,2489,7369,0,2631,10000
16,9.000000,7468,0,2532,7336,0,2664,10000
17,3.000000,9159,19,822,9109,17,874,10000
16,7.000000,7507,0,2493,7393,0,2607,10000
16,1.000000,8011,1,1988,7901,1,2098,10000
15,9.000000,8515,1,1484,8404,1,1595,10000
12,5.000000,8664,1003,333,8767,864,369,10000
12,1.000000,7778,6,2216,7608,4,2388,10000
12,3.000000,7754,2,2244,7597,0,2403,10000
14,1.000000,8743,918,339,8834,800,366,10000
19,9.000000,9123,17,860,9089,9,902,10000
15,5.000000,7436,0,2564,7329,0,2671,10000
17,1.000000,8830,870,300,8932,746,322,10000
17,5.000000,8878,831,291,8966,730,304,10000
17,7.000000,8856,853,291,8934,757,309,10000
17,9.000000,8855,836,309,8934,731,335,10000
17,1.000000,9069,22,909,9025,19,956,10000
17,5.000000,9130,18,852,9073,15,912,10000
17,9.000000,9105,17,878,9049,13,938,10000
17,1.000000,8557,1,1442,8479,1,1520,10000
17,3.000000,8607,4,1389,8524,3,1473,10000
17,5.000000,8554,0,1446,8479,0,1521,10000
17,7.000000,8535,1,1464,8445,1,1554,10000
17,9.000000,8540,4,1456,8479,2,1519,10000
17,1.000000,8077,1,1922,7982,1,2017,10000
17,3.000000,7984,0,2016,7864,0,2136,10000
17,5.000000,8031,0,1969,7937,0,2063,10000
17,7.000000,8053,1,1946,7930,0,2070,10000
17,9.000000,8040,1,1959,7919,1,2080,10000
17,1.000000,7587,0,2413,7461,0,2539,10000
17,3.000000,7530,0,2470,7422,0,2578,10000
17,5.000000,7588,0,2412,7476,0,2524,10000
17,7.000000,7542,0,2458,7424,0,2576,10000
17,9.000000,7493,0,2507,7367,0,2633,10000
18,1.000000,8901,818,281,8971,729,300,10000
18,3.000000,8924,805,271,9023,686,291,10000
18,5.000000,8848,834,318,8913,754,333,10000
18,7.000000,8852,833,315,8924,743,333,10000
18,9.000000,8947,775,278,9025,680,295,10000
18,1.000000,9117,29,854,9072,22,906,10000
18,3.000000,9124,17,859,9077,13,910,10000
18,5.000000,9131,23,846,9093,18,889,10000
18,7.000000,9110,17,873,9057,16,927,10000
18,9.000000,9147,20,833,9102,16,882,10000
18,1.000000,8604,1,1395,8531,1,1468,10000
18,3.000000,8598,0,1402,8517,0,1483,10000
18,5.000000,8612,2,1386,8540,2,1458,10000
18,7.000000,8618,2,1380,8529,2,1469,10000
18,9.000000,8524,0,1476,8439,0,1561,10000
18,1.000000,8104,0,1896,7995,0,2005,10000
18,3.000000,8083,0,1917,7984,0,2016,10000
18,5.000000,8096,0,1904,7988,0,2012,10000
18,7.000000,8024,0,1976,7929,0,2071,10000
18,1.000000,7651,0,2349,7538,0,2462,10000
18,3.000000,7574,0,2426,7478,0,2522,10000
18,5.000000,7647,0,2353,7524,0,2476,10000
18,7.000000,7554,0,2446,7433,0,2567,10000
18,9.000000,7616,0,2384,7498,0,2502,10000
19,1.000000,8893,836,271,8968,738,294,10000
19,3.000000,8957,795,248,9030,709,261,10000
19,5.000000,8901,773,326,8962,692,346,10000
19,7.000000,8927,793,280,9001,702,297,10000
19,9.000000,8934,783,283,9009,698,293,10000
19,1.000000,9160,12,828,9114,8,878,10000
19,3.000000,9093,20,887,9052,16,932,10000
19,5.000000,9168,16,816,9121,12,867,10000
17,3.000000,8862,829,309,8947,728,325,10000
19,7.000000,9151,20,829,9117,16,867,10000
19,1.000000,8624,0,1381,8550,0,1450,10000
19,3.000000,8600,0,1400,8518,0,1482,10000
19,5.000000,8685,1,1314,8616,1,1383,10000
19,7.000000,8629,0,1371,8554,0,1446,10000
19,9.000000,8578,1,1421,8503,1,1496,10000
19,1.000000,8093,0,1907,8010,0,1990,10000
19,3.000000,8118,0,1882,8006,0,1994,10000
19,5.000000,8183,0,1817,8083,0,1917,10000
19,7.000000,8123,0,1877,8022,0,1978,10000
19,9.000000,8136,1,1863,8042,1,1957,10000
19,1.000000,7628,0,2372,7520,0,2480,10000
19,3.000000,7655,0,2345,7556,0,2444,10000
19,5.000000,7637,0,2363,7523,0,2477,10000
19,7.000000,7630,0,2370,7548,0,2452,10000
19,9.000000,7659,0,2341,7553,0,2447,10000
21,5.000000,8699,0,1301,8644,0,1356,10000
17,7.000000,9098,21,881,9046,15,939,10000
18,9.000000,8043,0,1957,7935,0,2065,10000
20,1.000000,8905,805,290,8980,717,303,10000
20,3.000000,8970,781,249,9054,684,262,10000
20,5.000000,8931,773,296,8982,707,311,10000
20,7.000000,8939,788,273,8997,718,285,10000
20,9.000000,8976,765,259,9045,679,276,10000
20,1.000000,9139,19,842,9097,13,890,10000
20,3.000000,9213,12,775,9174,10,816,10000
20,5.000000,9141,13,846,9091,11,898,10000
20,7.000000,9164,13,823,9119,11,870,10000
20,9.000000,9153,20,827,9124,15,861,10000
20,1.000000,8677,1,1322,8599,0,1401,10000
20,3.000000,8633,0,1367,8563,0,1437,10000
20,5.000000,8621,0,1379,8569,0,1431,10000
20,7.000000,8625,0,1375,8561,0,1439,10000
20,9.000000,8670,1,1329,8614,0,1386,10000
20,1.000000,8153,0,1847,8077,0,1923,10000
20,3.000000,8170,0,1830,8095,0,1905,10000
20,5.000000,8105,0,1895,8029,0,1971,10000
20,7.000000,8184,0,1816,8098,0,1902,10000
20,9.000000,8198,0,1802,8115,0,1885,10000
20,1.000000,7711,0,2289,7609,0,2391,10000
20,3.000000,7690,0,2310,7599,0,2401,10000
20,5.000000,7726,0,2274,7610,0,2390,10000
20,7.000000,7686,0,2314,7599,0,2401,10000
20,9.000000,7705,0,2295,7615,0,2385,10000
21,1.000000,8961,737,302,9026,663,311,10000
21,3.000000,8948,789,263,9022,697,281,10000
21,5.000000,8924,813,263,8991,731,278,10000
21,7.000000,8995,749,256,9055,677,268,10000
21,9.000000,8898,813,289,8960,738,302,10000
21,1.000000,9174,12,814,9140,10,850,10000
21,3.000000,9193,18,789,9166,11,823,10000
21,5.000000,9163,9,828,9122,6,872,10000
21,7.000000,9185,10,805,9150,8,842,10000
21,9.000000,9176,11,813,9140,9,851,10000
21,1.000000,8696,0,1304,8635,0,1365,10000
21,3.000000,8658,0,1342,8606,0,1394,10000
21,7.000000,8709,0,1291,8645,0,1355,10000
21,9.000000,8684,1,1315,8625,1,1374,10000
21,1.000000,8154,0,1846,8073,0,1927,10000
21,3.000000,8236,0,1764,8169,0,1831,10000
21,5.000000,8200,0,1800,8128,0,1872,10000
21,7.000000,8234,0,1766,8151,0,1849,10000
21,9.000000,8211,0,1789,8131,0,1869,10000
21,1.000000,7786,0,2214,7697,0,2303,10000
21,3.000000,7762,0,2238,7665,0,2335,10000
21,5.000000,7745,0,2255,7653,0,2347,10000
21,7.000000,7674,0,2326,7589,0,2411,10000
21,9.000000,7744,0,2256,7645,0,2355,10000
22,1.000000,8963,783,2515,16664,705,2631,10000
22,5.000000,8979,762,2519,16679,701,2620,10000
22,9.000000,9004,751,2464,16746,687,2567,10000
22,1.000000,9180,8,2606,17270,5,2725,10000
22,3.000000,9251,9,2511,17363,5,2632,10000
22,5.000000,9221,10,2574,17311,9,2680,10000
22,7.000000,9198,11,2560,17328,7,2665,10000
22,9.000000,9182,10,2659,17212,8,2780,10000
22,3.000000,8740,1,2580,17298,1,2701,10000
22,7.000000,8634,1,3327,16510,1,3489,10000
22,9.000000,8695,21,2191,17684,15,2301,10000
22,1.000000,8197,0,1808,8120,0,1880,10000
22,3.000000,8224,0,1781,8155,0,1845,10000
22,5.000000,8261,20,2573,17294,16,2690,10000
22,7.000000,8268,16,2553,17308,12,2680,10000
22,9.000000,8258,20,2634,17234,16,2750,10000
22,1.000000,7819,12,3014,16836,8,3156,10000
22,3.000000,7768,783,2520,16678,698,2624,10000
22,5.000000,7791,793,2494,16687,702,2611,10000
22,7.000000,7767,773,2564,16624,692,2684,10000
22,9.000000,7752,795,2501,16694,709,2597,10000
23,3.000000,9037,1570,505,18054,1406,540,10000
23,5.000000,9041,709,2639,16573,654,2773,10000
23,7.000000,8961,765,2725,16459,688,2853,10000
23,9.000000,9005,772,2581,16569,710,2721,10000
23,1.000000,9249,9,3173,16700,7,3293,10000
23,3.000000,9239,14,3101,16735,13,3252,10000
23,5.000000,9170,10,2801,17069,5,2926,10000
23,7.000000,9222,5,2682,17168,3,2829,10000
23,1.000000,8785,0,3137,16711,0,3289,10000
23,3.000000,8693,0,3208,16633,0,3367,10000
23,5.000000,8771,1,2709,17150,1,2849,10000
23,7.000000,8710,0,1295,8659,0,1341,10000
23,9.000000,8697,2,2688,17168,2,2830,10000
23,1.000000,8198,2,3193,16670,2,3328,10000
23,3.000000,8260,0,3147,16711,0,3289,10000
23,5.000000,8281,1,3119,16741,1,3258,10000
23,7.000000,8241,20,2597,17259,16,2725,10000
23,9.000000,8247,17,2631,17216,16,2768,10000
